id,locality,type_of_property,subtype_of_property,type_of_sale,price,number_of_bedrooms,surface,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building
9009624,BONCELLES,APARTMENT,APARTMENT,residential_sale,251300,2,97,0,0,0,1,None,0,None,None,4,0,
9009620,BONCELLES,APARTMENT,APARTMENT,residential_sale,256700,2,97,0,0,0,1,None,0,None,None,4,0,
9009623,BONCELLES,APARTMENT,APARTMENT,residential_sale,262000,2,97,0,0,0,1,None,0,None,None,4,0,
9932806,Ronse,APARTMENT,APARTMENT,residential_sale,265000,2,110,0,0,0,1,None,0,None,,2,0,
9932804,Ronse,APARTMENT,APARTMENT,residential_sale,267500,2,114,0,0,0,1,None,0,None,,2,0,
10104086,Bruxelles,APARTMENT,APARTMENT,residential_sale,295000,2,85,1,0,0,1,None,0,None,,,0,AS_NEW
9917045,Oudenaarde,APARTMENT,APARTMENT,residential_sale,299500,2,88,0,0,0,1,None,0,None,None,2,0,
10039490,Merchtem,APARTMENT,DUPLEX,residential_sale,309000,2,106,0,0,0,1,None,0,None,,2,0,GOOD
9009628,BONCELLES,APARTMENT,PENTHOUSE,residential_sale,416000,3,121,0,0,0,1,None,0,None,None,4,0,
10070828,Gent,APARTMENT,APARTMENT,residential_sale,430000,2,94,None,0,0,1,None,0,None,,,0,AS_NEW
10018923,Ixelles,APARTMENT,APARTMENT,residential_sale,434000,2,None,0,0,0,1,None,0,None,,,0,AS_NEW
9968748,Gent,APARTMENT,APARTMENT,residential_sale,519000,3,149,None,0,0,1,None,1,None,,,0,
9968746,Gent,APARTMENT,APARTMENT,residential_sale,529000,3,159,None,0,0,1,None,1,None,,,0,
10078093,Tubize,HOUSE,HOUSE,residential_sale,175000,3,201,0,0,0,1,None,0,None,135,2,0,TO_BE_DONE_UP
9910737,Deerlijk,HOUSE,HOUSE,residential_sale,178000,2,155,0,0,0,1,None,1,None,431,3,0,GOOD
10108202,Grâce-Hollogne,HOUSE,HOUSE,residential_sale,179000,3,158,0,0,0,1,None,0,None,244,3,0,GOOD
10055480,Huy,HOUSE,HOUSE,residential_sale,179000,3,192,0,0,0,1,None,0,None,0,2,0,GOOD
9960992,Pont-à-Celles Viesville,HOUSE,HOUSE,residential_sale,179900,2,164,0,0,0,1,None,1,None,290,3,0,GOOD
10111673,Frameries,HOUSE,HOUSE,residential_sale,180000,3,150,0,0,1,1,None,1,None,520,3,0,TO_BE_DONE_UP
