post_code,type_of_property,subtype,price,construction_year,state,type_of_sale,bedrooms_count,habitable_surface,kitchen_type,furnished,fireplace,has_terrace,terrace_area,has_garden,garden_area,land_area,num_facade,swimmingpool
4051,HOUSE,HOUSE,99000.0,1918.0,TO_BE_DONE_UP,Regular,1.0,99.0,NOT_INSTALLED,True,False,True,28.0,True,160.0,236.0,4.0,False
4100,HOUSE,HOUSE,99000.0,1918.0,GOOD,Regular,2.0,76.0,NOT_INSTALLED,False,False,None,None,None,None,25.0,2.0,False
4480,HOUSE,HOUSE,120000.0,1899.0,TO_RESTORE,Regular,3.0,108.0,NOT_INSTALLED,False,False,None,None,True,35.0,156.0,3.0,False
4500,HOUSE,HOUSE,129000.0,1850.0,GOOD,Regular,2.0,115.0,NOT_INSTALLED,False,False,None,None,None,None,59.0,2.0,False
4500,HOUSE,MIXED_USE_BUILDING,129000.0,1850.0,GOOD,Regular,2.0,115.0,NOT_INSTALLED,False,False,None,None,None,None,59.0,2.0,False
4520,HOUSE,HOUSE,139500.0,1918.0,TO_BE_DONE_UP,Regular,4.0,150.0,NOT_INSTALLED,False,False,True,25.0,True,275.0,345.0,4.0,False
4040,HOUSE,HOUSE,149000.0,1919.0,TO_RENOVATE,Regular,4.0,134.0,NOT_INSTALLED,False,False,True,36.0,True,147.0,222.0,3.0,False
4420,HOUSE,HOUSE,149000.0,1874.0,GOOD,Regular,2.0,87.0,SEMI_EQUIPPED,False,False,None,None,True,37.0,107.0,2.0,False
4560,HOUSE,FARMHOUSE,149000.0,1880.0,TO_RENOVATE,Regular,5.0,300.0,NOT_INSTALLED,False,False,True,250.0,None,None,581.0,3.0,False
4800,HOUSE,HOUSE,149000.0,1850.0,TO_RENOVATE,Regular,3.0,117.0,NOT_INSTALLED,False,False,True,92.0,True,224.0,476.0,4.0,False
6672,HOUSE,HOUSE,155000.0,1949.0,TO_BE_DONE_UP,Regular,3.0,176.0,SEMI_EQUIPPED,False,False,None,None,True,290.0,480.0,3.0,False
9600,HOUSE,HOUSE,159000.0,1930.0,TO_BE_DONE_UP,Regular,2.0,145.0,SEMI_EQUIPPED,False,False,None,None,True,230.0,300.0,2.0,False
4101,HOUSE,HOUSE,165000.0,1938.0,TO_BE_DONE_UP,Regular,2.0,100.0,SEMI_EQUIPPED,False,False,True,24.0,True,120.0,235.0,2.0,False
4020,HOUSE,HOUSE,169000.0,1958.0,GOOD,Regular,3.0,97.0,NOT_INSTALLED,False,False,True,29.0,True,66.0,168.0,2.0,False
4100,HOUSE,HOUSE,169000.0,1918.0,GOOD,Regular,3.0,134.0,SEMI_EQUIPPED,False,False,True,100.0,None,None,122.0,3.0,False
6870,HOUSE,HOUSE,175000.0,1940.0,AS_NEW,Regular,2.0,124.0,NOT_INSTALLED,False,False,True,10.0,None,None,721.0,2.0,False
6980,HOUSE,MIXED_USE_BUILDING,185000.0,1953.0,TO_BE_DONE_UP,Regular,4.0,226.0,INSTALLED,False,False,None,None,None,None,100.0,3.0,False
4100,HOUSE,HOUSE,189000.0,1918.0,GOOD,Regular,4.0,120.0,INSTALLED,False,False,True,36.0,True,335.0,420.0,2.0,False
4420,HOUSE,HOUSE,189000.0,1954.0,TO_BE_DONE_UP,Regular,5.0,195.0,SEMI_EQUIPPED,False,False,True,40.0,True,280.0,324.0,2.0,False
3770,HOUSE,HOUSE,199000.0,1953.0,JUST_RENOVATED,Regular,2.0,110.0,NOT_INSTALLED,False,False,True,31.0,True,190.0,277.0,3.0,False
4020,HOUSE,MIXED_USE_BUILDING,199000.0,1918.0,GOOD,Regular,2.0,191.0,USA_SEMI_EQUIPPED,False,False,True,56.0,True,100.0,305.0,3.0,False
4682,HOUSE,HOUSE,199000.0,1963.0,GOOD,Regular,3.0,111.0,SEMI_EQUIPPED,True,False,True,63.0,True,536.0,652.0,4.0,False
4101,HOUSE,MIXED_USE_BUILDING,210000.0,1874.0,TO_RENOVATE,Regular,3.0,135.0,NOT_INSTALLED,False,False,True,None,True,64.0,1020.0,2.0,False
9600,HOUSE,HOUSE,225000.0,1948.0,AS_NEW,Regular,4.0,169.0,INSTALLED,False,False,True,25.0,True,85.0,190.0,2.0,False
4030,HOUSE,HOUSE,229000.0,1939.0,GOOD,Regular,4.0,150.0,SEMI_EQUIPPED,True,False,True,46.0,True,164.0,242.0,2.0,False
3300,HOUSE,HOUSE,239000.0,1932.0,JUST_RENOVATED,Regular,3.0,112.0,INSTALLED,False,False,True,16.0,True,130.0,195.0,2.0,False
