,id,locality,postal_code,region,province,type_of_property,subtype_of_property,type_of_sale,price,number_of_bedrooms,surface,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building
77,10049774,Wingene,8750,Flanders,West Flanders,HOUSE,MANSION,residential_sale,245000,3,-1,NOT_INSTALLED,NOT_INSTALLED,0,0,-1,-1,1,-1,645,3,0,TO_RENOVATE
78,10005232,Charleroi Gilly,6060,Wallonie,Hainaut,HOUSE,HOUSE,residential_sale,249000,3,102,USA_HYPER_EQUIPPED,1,0,0,1,30,1,250,339,2,0,AS_NEW
79,9903838,On,6900,Wallonie,Luxembourg,HOUSE,HOUSE,residential_sale,249000,3,164,HYPER_EQUIPPED,1,0,0,1,60,1,662,662,3,-1,AS_NEW
80,9814926,Deerlijk,8540,Flanders,West Flanders,HOUSE,HOUSE,residential_sale,249000,3,180,NO_INFO,-1,-1,1,1,-1,-1,-1,348,-1,0,AS_NEW
81,10077944,Tielt,8700,Flanders,West Flanders,HOUSE,HOUSE,residential_sale,249000,4,323,INSTALLED,INSTALLED,-1,0,-1,-1,1,-1,295,-1,0,AS_NEW
82,10067201,Ledegem,8880,Flanders,West Flanders,HOUSE,HOUSE,residential_sale,249000,3,-1,INSTALLED,INSTALLED,0,0,1,-1,1,-1,120,2,-1,AS_NEW
83,10004004,Stavelot,4970,Wallonie,Liège,HOUSE,BUNGALOW,residential_sale,250000,2,90,NO_INFO,-1,0,0,1,-1,-1,-1,823,4,0,TO_BE_DONE_UP
84,10025086,Walcourt Gourdinne,5651,Wallonie,Namur,HOUSE,VILLA,residential_sale,250000,2,200,SEMI_EQUIPPED,SEMI_EQUIPPED,0,0,1,36,1,2000,2205,4,-1,TO_BE_DONE_UP
85,10042676,Beveren-Leie,8791,Flanders,West Flanders,HOUSE,HOUSE,residential_sale,250000,4,170,NO_INFO,-1,-1,0,1,-1,-1,-1,725,-1,0,TO_RENOVATE
86,10024943,Aalst Erembodegem,9320,Flanders,East Flanders,HOUSE,HOUSE,residential_sale,250000,3,-1,INSTALLED,INSTALLED,-1,0,1,30,-1,-1,177,3,-1,GOOD
87,10087892,Seraing,4100,Wallonie,Liège,HOUSE,APARTMENT_BLOCK,residential_sale,259000,6,340,NO_INFO,-1,0,0,1,15,1,140,277,3,0,TO_RENOVATE
88,10087890,Seraing,4100,Wallonie,Liège,HOUSE,HOUSE,residential_sale,259000,6,340,NO_INFO,-1,0,0,1,15,1,140,277,3,0,TO_RENOVATE
89,9763468,Blankenberge,8370,Flanders,West Flanders,HOUSE,HOUSE,residential_sale,259000,3,-1,INSTALLED,INSTALLED,0,0,-1,-1,1,123,195,2,0,TO_BE_DONE_UP
90,10096371,Borgerhout,2140,Flanders,Antwerp,HOUSE,HOUSE,residential_sale,260000,4,118,INSTALLED,INSTALLED,-1,0,-1,-1,-1,-1,0,-1,0,TO_BE_DONE_UP
91,10007835,Saint-Léger Meixle-Tige,6747,Wallonie,Luxembourg,HOUSE,HOUSE,residential_sale,260000,3,130,NOT_INSTALLED,NOT_INSTALLED,0,0,1,-1,-1,-1,590,4,0,TO_RENOVATE
92,8358821,Meulebeke,8760,Flanders,West Flanders,APARTMENT,APARTMENT,residential_sale,257000,2,110,NO_INFO,-1,-1,0,1,-1,-1,-1,-1,-1,0,NO_INFO
93,9479397,Zwevegem,8550,Flanders,West Flanders,APARTMENT,SERVICE_FLAT,residential_sale,259000,1,70,NO_INFO,-1,0,0,1,6,-1,-1,-1,-1,0,GOOD
94,10072591,Waregem,8790,Flanders,West Flanders,APARTMENT,SERVICE_FLAT,residential_sale,259000,1,75,NO_INFO,-1,0,0,1,20,-1,-1,-1,-1,0,GOOD
95,9995928,Lebbeke,9280,Flanders,East Flanders,APARTMENT,GROUND_FLOOR,residential_sale,259250,2,85,HYPER_EQUIPPED,1,-1,0,1,15,1,60,-1,4,0,AS_NEW
96,10121752,Ixelles,1050,Brussels,Brussels,APARTMENT,APARTMENT,residential_sale,265000,1,101,NOT_INSTALLED,NOT_INSTALLED,0,0,-1,-1,-1,-1,-1,2,-1,TO_RENOVATE
97,9959227,Anderlecht,1070,Brussels,Brussels,APARTMENT,APARTMENT,residential_sale,269000,3,-1,USA_HYPER_EQUIPPED,1,0,0,1,8,-1,-1,-1,-1,0,AS_NEW
98,9479399,Zwevegem,8550,Flanders,West Flanders,APARTMENT,SERVICE_FLAT,residential_sale,269000,1,74,NO_INFO,-1,0,0,1,13,-1,-1,-1,-1,0,GOOD
